zipcode,median_income_household
16720,47109
16735,45741
16915,47804
16901,53809
16701,42825
17771,53015
17745,42630
15834,40833
16239,38264
15522,50417
16652,45798
18428,57276
16749,50375
18801,56522
15767,42577
17764,33828
15825,51208
16866,40121
16922,39010
15853,49601
15535,43750
16365,46086
16353,36875
18847,44844
15370,56122
18614,44301
18431,45263
17814,50982
17740,53840
17815,48074
17821,56358
18661,55795
16686,49921
16841,57083
15870,55750
15501,47001
16830,44764
18657,59684
17751,55227
16823,59151
15860,48839
16354,42039
17325,60188
16836,52250
16845,50000
18444,68880
17236,59512
15301,52376
16947,53576
16950,38407
16441,63631
15701,43874
16335,43835
17202,73856
17032,60882
16201,43535
17724,47976
17756,60202
17257,49769
17844,54559
17015,77589
18848,47500
17729,35000
16407,47412
16125,47251
15832,39464
16301,42108
16743,47246
17241,54073
15537,46825
16137,54245
17727,52000
18833,50531
16938,55000
18853,61250
16438,49579
16748,37188
16669,52941
16347,41658
16323,45108
16351,39457
15857,49279
15552,48227
16313,42159
16933,50679
16822,46657
16340,47976
17044,43411
17747,55781
15658,53705
18629,54118
15868,48705
18436,51846
15963,42565
15717,48167
16403,53115
16345,57869
16948,42578
16049,49722
15851,42227
15846,54045
17063,49904
18837,53819
16314,54565
17267,57667
16404,50179
17701,41850
16242,44048
17820,53604
15021,54310
17963,56672
17776,53750
17778,36875
15557,51116
16057,47909
17051,49079
18328,62090
16601,42315
15530,50996
18424,59661
17760,56029
15601,56424
17765,52813
16424,47172
17758,46528
16373,51250
17842,53301
16412,52392
19320,69770
17059,53580
18235,55351
18337,73544
17062,57880
16923,44345
16428,56747
16925,52414
18360,58785
15757,44297
15849,51944
17841,50020
17225,69566
16406,52400
16914,52727
17233,47987
17901,45066
16875,55574
15931,55275
17268,54093
17006,46406
17331,61194
16001,52423
15824,48333
15748,49040
18655,54041
16693,49500
15312,69306
18255,50141
15650,52790
17737,55092
16127,53333
16833,38694
16374,47391
15538,51806
16101,39002
16002,68230
15424,33750
18702,37966
17801,43742
17038,61927
17545,60864
18834,48158
16341,45714
15861,28828
17543,72643
19506,72961
16930,47431
18630,55440
16327,48571
17112,77242
16870,91086
18472,55495
15437,49830
15323,58205
16738,52222
18951,66463
16222,47188
15801,49424
17845,48839
16946,40833
15944,50129
17042,60040
16434,42411
17702,53493
17074,57727
18470,71364
18302,63189
16342,53021
16921,42000
18229,56336
18426,47477
18850,51964
17837,51723
16844,62026
17754,61286
16731,49250
18013,62859
18417,54750
17019,70037
17315,62563
18832,56033
15001,54570
15478,41942
15613,54597
16226,42589
16401,50453
18252,42421
18623,49631
17243,40795
16433,52526
16662,52019
16872,51927
17307,65693
