,address,category,name,rating,restId,review_count,url,zipcode
1132,649 Penn Ave,gastropubs,Meat & Potatoes,4,JLbgvGM4FXh9zNP4O5ZWjQ,1990,https://www.yelp.com/biz/meat-and-potatoes-pittsburgh?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15222
1131,1601 Penn Ave,argentine,Gaucho Parrilla Argentina,4.5,u4sTiCzVeIHZY8OlaL346Q,1934,https://www.yelp.com/biz/gaucho-parrilla-argentina-pittsburgh?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15222
1133,214 6th St,newamerican,täkō,4.5,woXlprCuowrLJswWere3TQ,1461,https://www.yelp.com/biz/t%C3%A4k%C5%8D-pittsburgh?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15222
1145,46 18th St,sandwiches,Primanti Bros,3.5,lKom12WnYEjH5FFemK3M1Q,1375,https://www.yelp.com/biz/primanti-bros-pittsburgh-15?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15222
310,242 S Highland Ave,thai,Noodlehead,4.5,dLc1d1zwd1Teu2QED5TmlA,1338,https://www.yelp.com/biz/noodlehead-pittsburgh?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15206
7,3525 Liberty Ave,bars,Church Brew Works,3.5,ejaUQ1hYo7Q7xCL1HdPINw,1126,https://www.yelp.com/biz/church-brew-works-pittsburgh?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15201
1136,212 6th St,newamerican,Butcher and the Rye,4.5,SmkYLXEYhzwUZdS6TAevHg,971,https://www.yelp.com/biz/butcher-and-the-rye-pittsburgh?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15222
1141,942 Penn Ave,italian,Sienna Mercato,4,sMzNLdhJZGzYirIWt-fMAg,834,https://www.yelp.com/biz/sienna-mercato-pittsburgh?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15222
1135,940 Penn Ave,bars,Bakersfield,4,Voeq7aGDmCGMjE_SQiHwRA,808,https://www.yelp.com/biz/bakersfield-pittsburgh-8?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15222
1160,2 S Market Sq,sandwiches,Primanti Bros,3.5,w_UCGMgok7N9p0XdYBx1VQ,798,https://www.yelp.com/biz/primanti-bros-pittsburgh?adjust_creative=E2BH6jna89195oC1_AjHXw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=E2BH6jna89195oC1_AjHXw,15222
