,rating,restId,text,type
0,5.0,JJi7c7uiTzCqeWNTsldgXQ,"It's been far too long since I've come here. The food is always very good and the owner is fantastic at making sure everyone has a great experience. The wait staff is also all super attentive. I wish I lived about 3 miles closer to them as I used to have them delivered all the time! 

My daughter decided she wanted to dress up and try Chinese food for the first time tonight. They don't have a kids menu but brought her the plain chicken and broccoli she wanted with the sauce on the side. She seemed to really like it although she decided the sauce wasn't for her (but it was very good!) My husband had their dragon roll and rainbow roll, which both were delicious. I went for shrimp and eggplant, and added on mixed veggies as I was feeling the need for some corn and broccoli. Highly recommend adding it onto this dish as it made it colorful and delicious! The dining room is also very pretty, and my daughter got home and said ""what a nice fancy dinner that was""  I have a feeling we will be back soon.",chinese
1,5.0,JJi7c7uiTzCqeWNTsldgXQ,"My husband and I decided to give this place a try during our recent trip to the area. We almost didn't go in because my husband didn't like the way the outside looked, but we are glad we stayed. The service was good and the food was great. My husband loves sushi, but I'm not a fan and they idea menu items we both liked. We will be coming again if we are in the area again.",chinese
2,5.0,JJi7c7uiTzCqeWNTsldgXQ,"This is good place to have Chinese food in this area, clean inside and excellent service. I like their duck especially!",chinese
3,4.0,JJi7c7uiTzCqeWNTsldgXQ,"Oh, maybe I ordered wrong. Or this was the most boring Cantonese style food this close to the east coast. Nostalgic, like food my parents ate in the late '50s. I drowned it in mustard to eat it. 
Trying lunch one more time. Ordering special, and some sushi. Waitress was quick and helpful. Lunch was excellent. Sushi always great!",chinese
4,5.0,JJi7c7uiTzCqeWNTsldgXQ,We are new to the area and got some take out from this place. Everything was so fresh and delicious! We've found our new go-to sushi and Chinese place!,chinese
5,5.0,O5MzWfMWDeEwkzNVeKdCfg,This place is great! Appears to be family owned and operated. They work really hard making good Chinese food really fast. I've read a few negative reviews and having ordered it for a year now I can say it's always been good. I keep coming back.,chinese
6,1.0,O5MzWfMWDeEwkzNVeKdCfg,"This place is terrible. I ordered fried rice with chicken and sweet and sour shrimp. I received yellow rice, definitely not fried, and the only other ingredient in the rice was chunks of raw white onion. The sweet and sour shrimp came as overly battered and barely any shrimp compared to amount of breading. They served it with a side of duck sauce. It wasn't a composed dish and actually looked more like donuts when it arrived and I was super confused. Definitely will not make the mistake of ordering from here again.",chinese
7,3.0,O5MzWfMWDeEwkzNVeKdCfg,"The place is freezing cold, like the same temperature inside as outside.  People working there were wearing a coat inside because I guess they just don't turn the heat on to lower their gas bill.

The glass on the front door is cracked.  The floor is dirty.  The ""open"" sign is being held up by packing tape.  The chairs are ripped.  Lots of shady people in neighborhood.

The eggroll and the General Tsos were fine, just your typical Chinese place food.  But something was off about the fried rice, the taste and the color were both just off a little.  Prices are low, but you get what you pay for.",chinese
8,2.0,O5MzWfMWDeEwkzNVeKdCfg,The food was pretty flavorless if you ask me. Also who puts cabbage in low mein? Fast service but don't know if I will be returning.,chinese
9,5.0,O5MzWfMWDeEwkzNVeKdCfg,"I love this little hole in the wall! I was cautious as first due to their appearance, but when I tried their food I immediately loved it. It's high quality chinese food for a low price. Their service is quick and they cook the food to order. I highly recommend!",chinese
10,5.0,A5Xd85djipsW546Bq6qIYA,"One of my favorite Chinese restaurants in Pittsburgh. A little pricey, but the portions are huge. I always have leftovers. The entrees that I've tried have all been delicious, but the fried calamari appetizer is my favorite. I get it every time and often go there just because I'm craving it specifically. It has such a unique flavor and is fried perfectly. I also like how they give you free tea if you ask for it. This place seems to do a lot of takeout and delivery, so the restaurant itself is almost always empty, which I personally like. Every other place on Shiloh St. is loud and crowded, so this is a nice change of pace. Highly recommend!",chinese
11,3.0,A5Xd85djipsW546Bq6qIYA,"I just want to start by saying that I am used to Chinese food from San Francisco and this was my first introduction to Chinese food here. I found it interesting that they had Chinese and Thai options at the same place. 

The service was good, the restaurant itself needs updating (It wasn't necessarily dirty but it disrepair for sure. ie-water spots all over ceiling, dingy carpet etc..)

The Pork dumplings were really good. The sauce they give was delicious. The shredded pork dish was good but it doesn't mention in the menu which vegetables are cooked with it and I don't like some of the ones they included (celery, carrots). And I don't think it tasted very much like garlic. The lo mein was good too- but definitely not authentic. It tasted like buttered noodles and honestly had more garlic taste than my pork dish.",chinese
12,4.0,A5Xd85djipsW546Bq6qIYA,"Decor -dated and the carpet is dingy 
Service - friendly and quick 
Food- great, flavorful and big portion sizes (expect the rice you will prob have to ask for more) 

Apps - Crab Rangoon and veggie egg roll- everything was hot and fresh. 
Honestly might be the best veggie egg roll I have had. It wasn't greasy and the veggies inside were very fresh. 

Dinners- General Tso chicken and Orange chicken big portion sizes. I wish they gave you more broccoli with the chicken dishes. The orange chicken has a great flavor! 

Overall one of the best Chinese's restaurants in Pgh that I have come across so far",chinese
13,4.0,A5Xd85djipsW546Bq6qIYA,"I'm really glad they do delivery! They said about 45 minutes, and they came in that time frame.

Pretty good Chinese food for a very reasonable price. I got egg drop soup and chicken fried rice. I really liked the egg drop soup, it was different from any I've had before because it had a few vegetables added. The fried rice was pretty average, but good. The portions were huge.

I will definitely order delivery from here again.",chinese
14,3.0,A5Xd85djipsW546Bq6qIYA,"Definitely not worth the price. This place's prices are extremely inflated for flavorless basic Chinese food. The customer service was subpar. I ordered food to go and once I arrived home I ended up not being content with the meal once I dug in. I could've went to the super market to get my entree and be satisfied. 

For my entree, I ordered a light fare meal: broccoli with chicken. The meal was basic and simple. One good thing is that I enjoyed was the brown sauce on the side. 

I would order ahead of time if you want to pick your food up to go as you have to pay for parking Monday they Saturday (if you park in the parking lot).",chinese
15,4.0,odfX0wO7fOyqa8oobxh96w,"You get what you pay for. If you are paying $5 for lunch, you're getting a $5 lunch. The lunches are exactly what you're paying for.

They have a secret Chinese menu, but you need to speak Chinese to get it. I occasionally go with a colleague who does all the ordering. If you can get that setup, it is fantastic.",chinese
16,1.0,odfX0wO7fOyqa8oobxh96w,"I had dined here a few times over the years.  I tried to purchase lunch on April 19, 2018.  The place looked like it was closed.  There was plastic over the door, but I saw a party dining and went in.  I was met by an unpleasant young woman who told me that only fish was available.  I do not expect to return.",chinese
17,1.0,odfX0wO7fOyqa8oobxh96w,"Worst in the past, present, and future of my life...
The food is a just a combination of rice/noodles and veg/meat and can never be called ""Chinese"", let alone their horrible service and slow serving.",chinese
18,2.0,odfX0wO7fOyqa8oobxh96w,Cheap food without a lot of love. Lunch general tso didn't contain anything but fried chicken and cheap sauce. Hot and sour soup was bland. Fried rice was just fried white rice with nothing else added. It could be better but they skimp on every ingredient possible. Won't be back.,chinese
19,5.0,odfX0wO7fOyqa8oobxh96w,"Not sure about the bad reviews here!! I don't know enough to know for certain but I suspect that the food here is more authentic Chinese style instead of American Chinese style and thus people don't get what they are accustomed to and get upset.  But ANYWAY I think this place is amazing!  Just a little tucked away kind of hole in the wall place you might not notice, but they have the best sesame noodles and I also really like their egg rolls and my son got some soup the other day that looked amazing.  And the lunch prices are great.  I am a vegetarian so can't comment on any of the main meat dishes but the noodles and soups and veggie eggrolls are great!  I feel like this is a hidden gem!",chinese
20,5.0,YufWhkZQPC6As55MuXTU8g,"Our favorite Chinese food spot for delivery. The food is always hot, fresh and consistent. Delivery drivers are always very friendly. And they never mess up on the orders. Try the General Tso Shrimp! And the shrimp egg rolls are crispy and full of fresh vegetables! My sons use to order from here all the time and now I see why.",chinese
21,4.0,YufWhkZQPC6As55MuXTU8g,Go to for quick Chinese food. Combination platters are large and come with an egg roll. We always pick up our take out. Value the quick and correct orders!,chinese
