zipcode,num_pp_per_sq_mile
16720,3.97
16735,21.35
16915,24.81
16901,43.3
16701,81.15
17771,14.87
17745,87.76
15834,21.1
16239,27.41
15522,63.16
16652,103.21
18428,72.98
16749,24.4
18801,50.08
15767,87.33
17764,13.56
15825,55.64
16866,62.54
16922,12.57
15853,42.4
15535,12.87
16365,123.9
16353,17.6
18847,39.99
15370,100.58
18614,16.86
18431,90.16
17814,35.43
17740,92.35
17815,225.89
17821,136.85
18661,41.27
16686,96.96
16841,44.2
15870,8.52
15501,121.11
16830,106.21
18657,97.22
17751,58.98
16823,235.65
15860,8.85
16354,88.79
17325,221.05
16836,8.63
16845,7.28
18444,117.04
17236,69.82
15301,402.34
16947,43.37
16950,29.91
16441,90.26
15701,296.76
16335,247.31
17202,240.32
17032,74.11
16201,153.58
17724,44.15
17756,109.88
17257,251.38
17844,94.19
17015,190.02
18848,80.61
17729,0.42
16407,102.6
16125,159.44
15832,2.48
16301,149.67
16743,35.28
17241,102.93
15537,71.75
16137,117.99
17727,0.62
18833,19.44
16938,6.46
18853,37.22
16438,76.15
16748,26.5
16669,19.6
16347,24.63
16323,156.8
16351,14.75
15857,127.13
15552,55.42
16313,16.71
16933,73.5
16822,20.97
16340,18.11
17044,213.39
17747,34.36
15658,89.23
18629,16.97
15868,14.85
18436,142.47
15963,109.13
15717,102.6
16403,72.6
16345,38.06
16948,18.18
16049,31.6
15851,71.92
15846,38.18
17063,36.49
18837,34.24
16314,59.02
17267,29.27
16404,40.23
17701,491.12
16242,49.42
17820,59.82
15021,81.2
17963,98.55
17776,3.22
17778,0.96
15557,38.17
16057,165.67
17051,56.5
18328,88.34
16601,378.75
15530,61.26
18424,63.4
17760,8.89
15601,677.38
17765,14.96
16424,68.1
17758,8.67
16373,40.57
17842,102.91
16412,131.59
19320,641.08
17059,98.53
18235,242.92
18337,182.51
17062,50.18
16923,19.79
16428,173.77
16925,45.69
18360,337.04
15757,19.54
15849,16.01
17841,61.41
17225,243.35
16406,41.52
16914,28.1
17233,66.62
17901,298.6
16875,57.1
15931,115.12
17268,371.43
17006,12.84
17331,675.79
16001,535.41
15824,70.41
15748,89.81
18655,80.18
16693,58.38
15312,49.51
18255,63.44
15650,361.53
17737,87.44
16127,219.53
16833,74.26
16374,27.37
15538,10.18
16101,464.81
16002,211.28
15424,29.76
18702,571.16
17801,244.09
17038,123.29
17545,312.5
18834,49.95
16341,27.91
15861,1.96
17543,627.19
19506,105.89
16930,19.78
18630,46.56
16327,45.48
17112,510.69
16870,105
18472,116.14
15437,39.53
15323,65.56
16738,37.67
18951,520.45
16222,38.66
15801,293.17
17845,29.5
16946,40.4
15944,46.45
17042,567.84
16434,50.01
17702,169.99
17074,111.81
18470,31.1
18302,271.9
16342,36.31
16921,7.67
18229,141.82
18426,71.82
18850,39.39
17837,317.2
16844,43.92
17754,207.69
16731,42.53
18013,296.67
18417,18.28
17019,292.8
17315,409.76
18832,31.7
15001,527.85
15478,98.71
15613,237.61
16226,133.13
16401,118.53
18252,177.73
18623,49.93
17243,24.33
16433,92.33
16662,100.36
16872,29.37
17307,94.28
17082,54.46
16232,73.04
15531,71.72
19529,58.61
17020,161.32
19526,199.77
17810,102.96
16435,33.35
18458,48.08
17222,196.64
16648,262.55
15759,54.04
17566,217.3
15401,542.79
18616,11.14
16828,78.26
18411,398.45
16668,62.06
16635,213.89
18612,345.36
15563,55.91
19530,288.95
15425,343.49
16240,24.71
16858,71.27
17022,539.77
15774,57.12
15666,296.41
17320,139.62
15057,282.95
16657,25.02
18603,374.79
16248,60.27
16134,82.99
16025,101.31
18656,42.86
17264,41.82
15681,84.34
18453,20.55
15550,32.41
17238,29.96
18446,68.15
16442,57.37
18058,197.89
16254,63.61
16935,27.58
17960,74.52
17021,15.99
16145,53.49
17324,77.45
16214,196.67
18707,323.93
16156,57.48
15010,563.2
16316,113.73
15946,134.65
16936,39.12
16420,13.06
18465,28.24
17040,43.74
18810,124.94
17847,246.41
19363,340.76
17004,95.52
17067,302.55
17728,105.54
17774,28.42
16417,169.14
17406,494.44
16038,77.58
15352,18.24
16259,40.34
15545,53.08
16436,12.86
16929,52.27
15431,81.93
15341,17.25
16350,60.67
17362,279.89
18324,197.07
18818,24.77
18840,237.52
18353,257.65
18826,33.36
15724,46.86
15534,21.19
17240,82.5
17003,242.92
17846,85.2
18621,141.38
18944,550.61
15559,37.84
15068,846.98
17870,342.76
16678,56.58
16917,27.08
19522,316.4
18066,141.06
17047,57.39
19382,1173.03
18636,31.27
15317,830.28
15464,35.52
17327,169.67
16061,53.83
16650,40.5
18660,85.22
18325,57.02
15330,123.21
16153,55.74
18407,320.34
15642,990.57
16740,25.88
17522,788.95
18822,80.94
18414,123.84
17018,105.72
19512,397.42
16746,30.32
16651,136.24
15728,84.35
17013,832.28
19335,1144.23
17350,297.26
16611,61.71
16142,165.51
17853,80.91
16051,71.73
16255,43.54
16233,27.84
17316,193.11
18938,345.63
16838,47.06
17055,867.5
15044,680.43
17872,225.96
17972,274.57
18301,765.36
17980,76.97
16256,61.71
16115,73.88
15377,17.48
16664,48.63
18419,130.19
17049,83.35
17052,37.23
17353,89.87
15108,1071.16
16509,718.57
15329,36.94
17938,62.33
18405,67.58
17777,199.03
15753,12.24
17859,72.28
17058,42.76
17061,204.69
17213,13.06
17045,81.17
18635,100.26
16943,12.36
16055,211.81
18064,671.17
15656,271.44
17057,694.96
19508,404.32
15320,137.52
17086,60.7
18222,244.32
15765,45.79
17046,812.2
15670,92.17
15610,99.38
15376,39.04
19355,660.18
17921,199.39
15380,14.58
17340,280.95
18445,72.01
16117,479.22
17302,67.48
15349,44.21
15823,37.59
19507,83.97
15143,558.4
17322,161.35
17265,14.98
19520,152.28
15864,42.41
15856,24.19
18466,486.71
15533,38.04
18421,155.99
17363,246.35
17752,132.39
15821,4.17
15364,19.4
19348,621.01
19518,424.68
16639,39.25
15829,42.1
17856,90.9
19460,1182.64
19465,486.89
17224,51.06
16928,37.19
15905,563.49
15540,7.78
18844,58.61
15541,102.63
17517,482.64
17260,33.19
15558,64.45
18619,7.73
16865,57.02
16037,135.5
15554,61.83
17314,171.08
16262,79.88
15551,21.85
15521,53.45
17035,27.34
16258,54.95
16319,37.93
17813,61.02
15906,328.98
16874,41.66
18415,32.9
17048,118.08
17555,213.9
16655,45.81
17823,35.18
17212,20.97
16510,787.17
16364,37.21
17563,122.02
15043,56.43
18326,138.27
18014,337.09
15771,27.31
17090,166.26
19540,334.97
19426,1199.57
16120,61.36
15026,109.68
17068,127.36
15012,461.92
18812,56.36
15469,65.73
15536,13.62
17830,64.69
18202,359.11
19330,161.02
17601,1579.49
18439,16.02
15459,46.33
16627,66.38
16148,508.41
16829,21.62
19344,365.63
18940,891.47
17066,169.88
17050,1144.85
15845,99.82
18249,115.84
15772,49.63
16130,68.25
17372,132.3
17552,624.33
16881,71.19
17084,138.92
17557,440.59
18210,262.79
15542,32.93
15622,32.02
17356,679.45
16371,102.11
16625,116.01
16877,57.93
16801,1421.37
17024,70.53
19380,1621.12
15337,18.02
18824,50.28
18080,369.78
16033,201.96
15470,24.66
17922,157.04
18240,131.17
18610,143.93
18071,329.89
16673,173.41
15747,63.67
16317,42.08
18831,47.54
19067,1815.52
15904,511.35
15725,51.26
17768,10.99
17094,86.92
17078,697.14
